"id","user_id","restaurant_id","total_quantity","total_price","status","created_at","updated_at"
4,38,7,7,32.0,created,"2023-03-17 17:25:22","2023-03-17 17:25:22"
5,39,7,6,30.0,created,"2023-03-17 19:00:16","2023-03-17 19:00:16"
6,39,7,6,30.0,created,"2023-03-17 19:11:22","2023-03-17 19:11:22"
7,39,7,6,30.0,created,"2023-03-17 19:12:12","2023-03-17 19:12:12"
8,39,7,6,43.0,created,"2023-03-17 19:12:56","2023-03-17 19:12:56"
9,39,7,6,43.0,created,"2023-03-17 19:15:16","2023-03-17 19:15:16"
10,39,7,6,43.0,created,"2023-03-20 14:37:59","2023-03-20 14:37:59"
11,39,7,6,43.0,created,"2023-03-20 14:38:53","2023-03-20 14:38:53"
12,39,7,6,43.0,created,"2023-03-20 14:40:11","2023-03-20 14:40:11"
13,39,7,6,43.0,created,"2023-03-20 14:40:40","2023-03-20 14:40:40"
14,39,7,6,43.0,created,"2023-03-20 14:42:07","2023-03-20 14:42:07"
15,39,7,6,43.0,created,"2023-03-20 14:42:17","2023-03-20 14:42:17"
16,39,7,6,43.0,created,"2023-03-20 14:43:22","2023-03-20 14:43:22"
17,39,7,6,43.0,created,"2023-03-20 14:44:03","2023-03-20 14:44:03"
18,39,7,6,43.0,created,"2023-03-20 14:45:04","2023-03-20 14:45:04"
19,39,7,6,43.0,created,"2023-03-20 14:46:01","2023-03-20 14:46:01"
20,39,7,6,43.0,created,"2023-03-20 14:47:12","2023-03-20 14:47:12"
21,39,7,6,43.0,created,"2023-03-20 14:51:13","2023-03-20 14:51:13"
22,39,7,6,43.0,CREATED,"2023-03-20 14:54:28","2023-03-20 14:54:28"
23,39,7,6,43.0,CREATED,"2023-03-20 15:56:10","2023-03-20 15:56:10"
24,39,7,6,43.0,CREATED,"2023-03-20 15:58:17","2023-03-20 15:58:17"
25,39,7,6,43.0,CREATED,"2023-03-20 16:05:52","2023-03-20 16:05:52"
26,39,7,6,43.0,CREATED,"2023-03-20 16:07:12","2023-03-20 16:07:12"
27,39,7,6,43.0,CREATED,"2023-03-20 16:10:29","2023-03-20 16:10:29"
28,39,7,6,43.0,CREATED,"2023-03-20 16:20:04","2023-03-20 16:20:04"
29,39,7,6,43.0,CREATED,"2023-03-20 16:21:42","2023-03-20 16:21:42"
30,39,7,6,43.0,CREATED,"2023-03-20 16:25:47","2023-03-20 16:25:47"
31,39,7,6,43.0,CREATED,"2023-03-20 16:44:06","2023-03-20 16:44:06"
32,39,7,6,43.0,CREATED,"2023-03-20 16:45:06","2023-03-20 16:45:06"
33,39,7,6,43.0,CREATED,"2023-03-20 16:53:57","2023-03-20 16:53:57"
34,39,7,6,43.0,CREATED,"2023-03-20 16:54:06","2023-03-20 16:54:06"
35,39,7,5,31.0,CREATED,"2023-03-20 18:33:11","2023-03-20 18:33:11"
36,39,7,5,31.0,CREATED,"2023-03-20 18:35:12","2023-03-20 18:35:12"
37,39,7,5,31.0,CREATED,"2023-03-20 18:35:12","2023-03-20 18:35:12"
38,39,7,5,31.0,CREATED,"2023-03-20 18:35:12","2023-03-20 18:35:12"
39,39,7,5,31.0,CREATED,"2023-03-20 18:38:22","2023-03-20 18:38:22"
40,39,7,5,31.0,CREATED,"2023-03-20 18:38:23","2023-03-20 18:38:23"
41,39,7,5,31.0,CREATED,"2023-03-20 18:38:23","2023-03-20 18:38:23"
42,39,7,5,31.0,CREATED,"2023-03-20 18:40:03","2023-03-20 18:40:03"
43,39,7,5,31.0,CREATED,"2023-03-20 18:40:03","2023-03-20 18:40:03"
44,39,7,5,31.0,CREATED,"2023-03-20 18:40:03","2023-03-20 18:40:03"
45,39,7,5,31.0,CREATED,"2023-03-20 18:42:41","2023-03-20 18:42:41"
46,39,7,5,31.0,CREATED,"2023-03-20 18:43:06","2023-03-20 18:43:06"
47,39,7,5,31.0,CREATED,"2023-03-20 18:43:28","2023-03-20 18:43:28"
48,39,7,5,31.0,CREATED,"2023-03-20 18:43:28","2023-03-20 18:43:28"
49,39,7,5,31.0,CREATED,"2023-03-20 18:43:28","2023-03-20 18:43:28"
50,39,7,5,31.0,CREATED,"2023-03-20 18:45:30","2023-03-20 18:45:30"
51,39,7,5,31.0,CREATED,"2023-03-20 18:45:30","2023-03-20 18:45:30"
52,39,7,5,31.0,CREATED,"2023-03-20 18:45:30","2023-03-20 18:45:30"
53,39,7,5,31.0,CREATED,"2023-03-20 18:46:37","2023-03-20 18:46:37"
54,39,7,5,31.0,CREATED,"2023-03-20 18:46:37","2023-03-20 18:46:37"
55,39,7,5,31.0,CREATED,"2023-03-20 18:46:37","2023-03-20 18:46:37"
