"id","user_id","menu_id","product_id","created_at","updated_at"
3,11,1,1,"2023-03-13 15:08:28","2023-03-13 15:08:28"
4,11,1,3,"2023-03-13 15:08:28","2023-03-13 15:08:28"
5,11,1,4,"2023-03-13 15:08:28","2023-03-13 15:08:28"
6,11,1,5,"2023-03-13 15:08:28","2023-03-13 15:08:28"
7,12,3,9,"2023-03-29 20:44:04","2023-03-29 20:44:04"
8,12,3,10,"2023-03-29 20:44:25","2023-03-29 20:44:25"
9,12,2,10,"2023-03-29 20:44:25","2023-03-29 20:44:25"
10,12,4,10,"2024-01-12 17:02:26","2024-01-12 17:02:26"
11,12,4,9,"2024-01-12 17:02:40","2024-01-12 17:02:40"
12,12,4,90,"2024-01-12 17:02:52","2024-01-12 17:02:52"
