"id","order_id","product_id","quantity","price","created_at","updated_at"
1,20,6,1,11.0,"2023-03-20 14:47:12","2023-03-20 14:47:12"
2,20,7,3,14.0,"2023-03-20 14:47:12","2023-03-20 14:47:12"
3,20,8,2,18.0,"2023-03-20 14:47:12","2023-03-20 14:47:12"
4,21,6,1,11.0,"2023-03-20 14:51:13","2023-03-20 14:51:13"
5,21,7,3,14.0,"2023-03-20 14:51:13","2023-03-20 14:51:13"
6,21,8,2,18.0,"2023-03-20 14:51:13","2023-03-20 14:51:13"
7,22,6,1,11.0,"2023-03-20 14:54:28","2023-03-20 14:54:28"
8,22,7,3,14.0,"2023-03-20 14:54:28","2023-03-20 14:54:28"
9,22,8,2,18.0,"2023-03-20 14:54:28","2023-03-20 14:54:28"
10,23,6,1,11.0,"2023-03-20 15:56:10","2023-03-20 15:56:10"
11,23,7,3,14.0,"2023-03-20 15:56:10","2023-03-20 15:56:10"
12,23,8,2,18.0,"2023-03-20 15:56:10","2023-03-20 15:56:10"
13,24,6,1,11.0,"2023-03-20 15:58:17","2023-03-20 15:58:17"
14,24,7,3,14.0,"2023-03-20 15:58:17","2023-03-20 15:58:17"
15,24,8,2,18.0,"2023-03-20 15:58:17","2023-03-20 15:58:17"
16,25,6,1,11.0,"2023-03-20 16:05:52","2023-03-20 16:05:52"
17,25,7,3,14.0,"2023-03-20 16:05:52","2023-03-20 16:05:52"
18,25,8,2,18.0,"2023-03-20 16:05:52","2023-03-20 16:05:52"
19,26,6,1,11.0,"2023-03-20 16:07:12","2023-03-20 16:07:12"
20,26,7,3,14.0,"2023-03-20 16:07:12","2023-03-20 16:07:12"
21,26,8,2,18.0,"2023-03-20 16:07:12","2023-03-20 16:07:12"
22,27,6,1,11.0,"2023-03-20 16:10:29","2023-03-20 16:10:29"
23,27,7,3,14.0,"2023-03-20 16:10:29","2023-03-20 16:10:29"
24,27,8,2,18.0,"2023-03-20 16:10:29","2023-03-20 16:10:29"
25,28,6,1,11.0,"2023-03-20 16:20:04","2023-03-20 16:20:04"
26,28,7,3,14.0,"2023-03-20 16:20:04","2023-03-20 16:20:04"
27,28,8,2,18.0,"2023-03-20 16:20:04","2023-03-20 16:20:04"
28,29,6,1,11.0,"2023-03-20 16:21:42","2023-03-20 16:21:42"
29,29,7,3,14.0,"2023-03-20 16:21:42","2023-03-20 16:21:42"
30,29,8,2,18.0,"2023-03-20 16:21:42","2023-03-20 16:21:42"
31,30,6,1,11.0,"2023-03-20 16:25:48","2023-03-20 16:25:48"
32,30,7,3,14.0,"2023-03-20 16:25:48","2023-03-20 16:25:48"
33,30,8,2,18.0,"2023-03-20 16:25:48","2023-03-20 16:25:48"
34,31,6,1,11.0,"2023-03-20 16:44:06","2023-03-20 16:44:06"
35,31,7,3,14.0,"2023-03-20 16:44:06","2023-03-20 16:44:06"
36,31,8,2,18.0,"2023-03-20 16:44:06","2023-03-20 16:44:06"
37,32,6,1,11.0,"2023-03-20 16:45:06","2023-03-20 16:45:06"
38,32,7,3,14.0,"2023-03-20 16:45:06","2023-03-20 16:45:06"
39,32,8,2,18.0,"2023-03-20 16:45:06","2023-03-20 16:45:06"
40,33,6,1,11.0,"2023-03-20 16:53:57","2023-03-20 16:53:57"
41,33,7,3,14.0,"2023-03-20 16:53:57","2023-03-20 16:53:57"
42,33,8,2,18.0,"2023-03-20 16:53:57","2023-03-20 16:53:57"
43,34,6,1,11.0,"2023-03-20 16:54:06","2023-03-20 16:54:06"
44,34,7,3,14.0,"2023-03-20 16:54:06","2023-03-20 16:54:06"
45,34,8,2,18.0,"2023-03-20 16:54:06","2023-03-20 16:54:06"
46,35,4,1,10.0,"2023-03-20 18:33:11","2023-03-20 18:33:11"
47,35,5,1,10.0,"2023-03-20 18:33:11","2023-03-20 18:33:11"
48,35,6,3,11.0,"2023-03-20 18:33:11","2023-03-20 18:33:11"
49,36,4,1,10.0,"2023-03-20 18:35:12","2023-03-20 18:35:12"
50,36,5,1,10.0,"2023-03-20 18:35:12","2023-03-20 18:35:12"
51,36,6,3,11.0,"2023-03-20 18:35:12","2023-03-20 18:35:12"
52,37,4,1,10.0,"2023-03-20 18:35:12","2023-03-20 18:35:12"
53,37,5,1,10.0,"2023-03-20 18:35:12","2023-03-20 18:35:12"
54,37,6,3,11.0,"2023-03-20 18:35:12","2023-03-20 18:35:12"
55,38,4,1,10.0,"2023-03-20 18:35:12","2023-03-20 18:35:12"
56,38,5,1,10.0,"2023-03-20 18:35:12","2023-03-20 18:35:12"
57,38,6,3,11.0,"2023-03-20 18:35:12","2023-03-20 18:35:12"
58,39,4,1,10.0,"2023-03-20 18:38:23","2023-03-20 18:38:23"
59,39,5,1,10.0,"2023-03-20 18:38:23","2023-03-20 18:38:23"
60,39,6,3,11.0,"2023-03-20 18:38:23","2023-03-20 18:38:23"
61,40,4,1,10.0,"2023-03-20 18:38:23","2023-03-20 18:38:23"
62,40,5,1,10.0,"2023-03-20 18:38:23","2023-03-20 18:38:23"
63,40,6,3,11.0,"2023-03-20 18:38:23","2023-03-20 18:38:23"
64,41,4,1,10.0,"2023-03-20 18:38:23","2023-03-20 18:38:23"
65,41,5,1,10.0,"2023-03-20 18:38:23","2023-03-20 18:38:23"
66,41,6,3,11.0,"2023-03-20 18:38:23","2023-03-20 18:38:23"
67,42,4,1,10.0,"2023-03-20 18:40:03","2023-03-20 18:40:03"
68,42,5,1,10.0,"2023-03-20 18:40:03","2023-03-20 18:40:03"
69,42,6,3,11.0,"2023-03-20 18:40:03","2023-03-20 18:40:03"
70,43,4,1,10.0,"2023-03-20 18:40:03","2023-03-20 18:40:03"
71,43,5,1,10.0,"2023-03-20 18:40:03","2023-03-20 18:40:03"
72,43,6,3,11.0,"2023-03-20 18:40:03","2023-03-20 18:40:03"
73,44,4,1,10.0,"2023-03-20 18:40:03","2023-03-20 18:40:03"
74,44,5,1,10.0,"2023-03-20 18:40:03","2023-03-20 18:40:03"
75,44,6,3,11.0,"2023-03-20 18:40:03","2023-03-20 18:40:03"
76,45,4,1,10.0,"2023-03-20 18:42:41","2023-03-20 18:42:41"
77,45,5,1,10.0,"2023-03-20 18:42:41","2023-03-20 18:42:41"
78,45,6,3,11.0,"2023-03-20 18:42:41","2023-03-20 18:42:41"
79,46,4,1,10.0,"2023-03-20 18:43:06","2023-03-20 18:43:06"
80,46,5,1,10.0,"2023-03-20 18:43:06","2023-03-20 18:43:06"
81,46,6,3,11.0,"2023-03-20 18:43:06","2023-03-20 18:43:06"
82,47,4,1,10.0,"2023-03-20 18:43:28","2023-03-20 18:43:28"
83,47,5,1,10.0,"2023-03-20 18:43:28","2023-03-20 18:43:28"
84,47,6,3,11.0,"2023-03-20 18:43:28","2023-03-20 18:43:28"
85,48,4,1,10.0,"2023-03-20 18:43:28","2023-03-20 18:43:28"
86,48,5,1,10.0,"2023-03-20 18:43:28","2023-03-20 18:43:28"
87,48,6,3,11.0,"2023-03-20 18:43:28","2023-03-20 18:43:28"
88,49,4,1,10.0,"2023-03-20 18:43:28","2023-03-20 18:43:28"
89,49,5,1,10.0,"2023-03-20 18:43:28","2023-03-20 18:43:28"
90,49,6,3,11.0,"2023-03-20 18:43:28","2023-03-20 18:43:28"
91,50,4,1,10.0,"2023-03-20 18:45:30","2023-03-20 18:45:30"
92,50,5,1,10.0,"2023-03-20 18:45:30","2023-03-20 18:45:30"
93,50,6,3,11.0,"2023-03-20 18:45:30","2023-03-20 18:45:30"
94,51,4,1,10.0,"2023-03-20 18:45:30","2023-03-20 18:45:30"
95,51,5,1,10.0,"2023-03-20 18:45:30","2023-03-20 18:45:30"
96,51,6,3,11.0,"2023-03-20 18:45:30","2023-03-20 18:45:30"
97,52,4,1,10.0,"2023-03-20 18:45:30","2023-03-20 18:45:30"
98,52,5,1,10.0,"2023-03-20 18:45:30","2023-03-20 18:45:30"
99,52,6,3,11.0,"2023-03-20 18:45:30","2023-03-20 18:45:30"
100,53,4,1,10.0,"2023-03-20 18:46:37","2023-03-20 18:46:37"
101,53,5,1,10.0,"2023-03-20 18:46:37","2023-03-20 18:46:37"
102,53,6,3,11.0,"2023-03-20 18:46:37","2023-03-20 18:46:37"
103,54,4,1,10.0,"2023-03-20 18:46:37","2023-03-20 18:46:37"
104,54,5,1,10.0,"2023-03-20 18:46:37","2023-03-20 18:46:37"
105,54,6,3,11.0,"2023-03-20 18:46:37","2023-03-20 18:46:37"
106,55,4,1,10.0,"2023-03-20 18:46:37","2023-03-20 18:46:37"
107,55,5,1,10.0,"2023-03-20 18:46:37","2023-03-20 18:46:37"
108,55,6,3,11.0,"2023-03-20 18:46:37","2023-03-20 18:46:37"
109,56,4,1,10.0,"2023-03-21 15:44:50","2023-03-21 15:44:50"
110,56,5,1,10.0,"2023-03-21 15:44:50","2023-03-21 15:44:50"
111,56,6,3,11.0,"2023-03-21 15:44:50","2023-03-21 15:44:50"
112,57,4,1,10.0,"2023-03-21 15:44:50","2023-03-21 15:44:50"
113,57,5,1,10.0,"2023-03-21 15:44:50","2023-03-21 15:44:50"
114,57,6,3,11.0,"2023-03-21 15:44:50","2023-03-21 15:44:50"
115,58,4,1,10.0,"2023-03-21 15:44:50","2023-03-21 15:44:50"
116,58,5,1,10.0,"2023-03-21 15:44:50","2023-03-21 15:44:50"
117,58,6,3,11.0,"2023-03-21 15:44:50","2023-03-21 15:44:50"
118,59,4,1,10.0,"2023-03-21 15:47:27","2023-03-21 15:47:27"
119,59,5,1,10.0,"2023-03-21 15:47:27","2023-03-21 15:47:27"
120,59,6,3,11.0,"2023-03-21 15:47:27","2023-03-21 15:47:27"
121,60,4,1,10.0,"2023-03-21 15:47:27","2023-03-21 15:47:27"
122,60,5,1,10.0,"2023-03-21 15:47:27","2023-03-21 15:47:27"
123,60,6,3,11.0,"2023-03-21 15:47:27","2023-03-21 15:47:27"
124,61,4,1,10.0,"2023-03-21 15:47:27","2023-03-21 15:47:27"
125,61,5,1,10.0,"2023-03-21 15:47:27","2023-03-21 15:47:27"
126,61,6,3,11.0,"2023-03-21 15:47:27","2023-03-21 15:47:27"
127,62,4,1,10.0,"2023-03-21 16:07:29","2023-03-21 16:07:29"
128,62,5,1,10.0,"2023-03-21 16:07:29","2023-03-21 16:07:29"
129,62,6,3,11.0,"2023-03-21 16:07:29","2023-03-21 16:07:29"
130,63,4,1,10.0,"2023-03-21 16:08:10","2023-03-21 16:08:10"
131,63,5,1,10.0,"2023-03-21 16:08:10","2023-03-21 16:08:10"
